blockNumber;time;netHashPerSecond
100512;1405122741.00;88537498864
100656;1405145625.00;87960908303
100800;1405168130.00;83644661690
100944;1405190252.00;81982483259
101088;1405214435.00;87536433856
101232;1405235839.00;88530523422
101376;1405258635.00;83159452668
101520;1405282007.00;79355043662
101664;1405304151.00;80887479454
101808;1405326609.00;84907739558
101952;1405349119.00;82288791945
102096;1405371436.00;87787377127
102240;1405393990.00;80044719382
102384;1405417685.00;80010428666
102528;1405440329.00;83612570638
102672;1405461602.00;81626691266
102816;1405485541.00;84182720107
102960;1405507649.00;74653734816
103104;1405530713.00;72113185715
103248;1405552641.00;81223315584
103392;1405576803.00;80170893179
103536;1405597917.00;92736191542
103680;1405621627.00;77503767263
103824;1405643768.00;82593157551
103968;1405666268.00;81276774279
104112;1405688628.00;110692000000
104256;1405711503.00;123635000000
104400;1405734114.00;94680567059
104544;1405757237.00;91756136820
104688;1405779980.00;115678000000
104832;1405803296.00;73401005946
104976;1405826103.00;99714336060
105120;1405847985.00;121986000000
105264;1405871098.00;105937000000
105408;1405893825.00;94292117699
105552;1405915970.00;106112000000
105696;1405939746.00;87998699850
105840;1405961314.00;108760000000
105984;1405984447.00;97409517481
106128;1406006897.00;107845000000
106272;1406030105.00;96178370814
106416;1406052497.00;105582000000
106560;1406075622.00;87761602063
106704;1406097354.00;95529436001
106848;1406119641.00;104704000000
106992;1406142626.00;107961000000
107136;1406164333.00;106266000000
107280;1406187414.00;101451000000
107424;1406210820.00;106348000000
107568;1406233206.00;93871440704
107712;1406257186.00;80638992492
107856;1406279451.00;89637715575
108000;1406301172.00;93931221375
108144;1406324746.00;77112568386
108288;1406347565.00;88549376400
108432;1406369213.00;100764000000
108576;1406392499.00;88539453259
108720;1406414888.00;94174257806
108864;1406437692.00;85919545960
109008;1406459933.00;90695425354
109152;1406481593.00;119204000000
109296;1406505682.00;113444000000
109440;1406527514.00;115775000000
109584;1406550443.00;101457000000
109728;1406573710.00;107215000000
109872;1406595076.00;108080000000
110016;1406617952.00;100657000000
110160;1406641841.00;92154863877
110304;1406664243.00;91851996118
110448;1406685869.00;87362864853
110592;1406708842.00;83438262312
110736;1406731810.00;81011189372
110880;1406754006.00;83338286512
111024;1406777260.00;75220948545
111168;1406799655.00;73305902341
111312;1406822841.00;76810582407
111456;1406844623.00;73179644551
111600;1406867346.00;80654229787
111744;1406890195.00;75569621985
111888;1406913221.00;72253911998
112032;1406935951.00;69319324879
112176;1406958022.00;75209986733
112320;1406980939.00;80053555146
112464;1407003286.00;94769563456
112608;1407025665.00;89519213137
112752;1407048316.00;98200205209
112896;1407071541.00;88494067398
113040;1407093380.00;111319000000
113184;1407116406.00;102620000000
113328;1407138087.00;117828000000
113472;1407161413.00;110466000000
113616;1407184169.00;117201000000
113760;1407206922.00;114633000000
113904;1407228943.00;119518000000
114048;1407251629.00;118711000000
114192;1407273911.00;130835000000
114336;1407297332.00;123823000000
114480;1407320925.00;162427000000
114624;1407342371.00;148847000000
114768;1407365521.00;131982000000
114912;1407388053.00;106118000000
115056;1407411885.00;93576048941
115200;1407433797.00;110580000000
115344;1407456453.00;112397000000
115488;1407478584.00;121991000000
115632;1407501441.00;125419000000
115776;1407523818.00;132906000000
115920;1407546123.00;130548000000
116064;1407569362.00;113606000000
116208;1407592681.00;114601000000
116352;1407615212.00;116905000000
116496;1407637296.00;139697000000
116640;1407659751.00;136135000000
116784;1407682548.00;122308000000
116928;1407705347.00;114468000000
117072;1407727534.00;111091000000
117216;1407750192.00;115436000000
117360;1407773654.00;113081000000
117504;1407796150.00;114974000000
117648;1407818233.00;126698000000
117792;1407842430.00;101123000000
117936;1407864276.00;113713000000
118080;1407886939.00;100768000000
118224;1407909886.00;97967354626
118368;1407931556.00;101109000000
118512;1407953679.00;120209000000
118656;1407977259.00;120682000000
118800;1408000139.00;123867000000
118944;1408022275.00;126132000000
119088;1408044724.00;119985000000
119232;1408067751.00;124115000000
119376;1408089599.00;120842000000
119520;1408113738.00;104958000000
119664;1408136278.00;103379000000
119808;1408158868.00;100327000000
119952;1408181019.00;125927000000
120096;1408203768.00;122101000000
120240;1408225884.00;135157000000
120384;1408248690.00;104561000000
120528;1408272030.00;113065000000
120672;1408294151.00;109939000000
120816;1408316982.00;105527000000
120960;1408339969.00;101398000000
121104;1408363081.00;92268509806
121248;1408385174.00;95201141855
121392;1408407100.00;94697810324
121536;1408430251.00;88329875360
121680;1408453464.00;88944516764
121824;1408474595.00;94932452676
121968;1408498014.00;97957185440
122112;1408521174.00;109092000000
122256;1408543051.00;105840000000
122400;1408565522.00;109304000000
122544;1408588651.00;93303827124
122688;1408610959.00;92776825630
122832;1408633725.00;100417000000
122976;1408656690.00;97234197881
123120;1408679517.00;94816774626
123264;1408701639.00;86362442546
123408;1408724410.00;97306642411
123552;1408746822.00;104729000000
123696;1408769345.00;92470720474
123840;1408791953.00;96075330366
123984;1408815874.00;92466345559
124128;1408837621.00;103906000000
124272;1408859638.00;98818569341
124416;1408882244.00;99859294424
124560;1408906285.00;94765086758
124704;1408927526.00;110480000000
124848;1408950155.00;100408000000
124992;1408973632.00;95912251832
125136;1408995963.00;97548098880
125280;1409017795.00;107010000000
125424;1409040821.00;106768000000
125568;1409063450.00;111506000000
125712;1409086104.00;100711000000
125856;1409110037.00;81012559878
126000;1409131659.00;97472835787
